gc.content	chr.arm
chr1_3950000	50.90181818	chr1
chr1_4000000	48.16727273	chr1
chr1_4050000	50.59818182	chr1
chr1_4100000	49.69090909	chr1
chr1_4150000	47.17090909	chr1
chr1_4200000	43.79818182	chr1
chr1_4250000	44.97636364	chr1
chr1_4300000	50.92909091	chr1
chr1_4350000	48.23454545	chr1
chr1_4400000	46.25090909	chr1
chr1_4450000	48.83636364	chr1
chr1_4500000	46.30181818	chr1
chr1_4550000	46.18181818	chr1
chr1_4600000	50.75636364	chr1
chr1_4650000	53.64363636	chr1
chr1_4700000	53.36909091	chr1
chr1_4750000	50.14909091	chr1
chr1_4800000	42.78909091	chr1
chr1_4850000	44.75272727	chr1
chr1_4900000	45.96181818	chr1
chr1_4950000	45.69636364	chr1
chr1_5000000	43.24	chr1
chr1_5050000	38.84727273	chr1
chr1_5100000	43.64545455	chr1
chr1_5150000	44.44727273	chr1
chr1_5200000	42.63818182	chr1
chr1_5250000	47.89454545	chr1
chr1_5300000	45.97818182	chr1
chr1_5350000	46.96545455	chr1
chr1_5400000	49.03636364	chr1
chr1_5450000	49.46909091	chr1
chr1_5500000	45.78727273	chr1
chr1_5550000	45.56545455	chr1
chr1_5600000	45.99454545	chr1
chr1_5650000	48.65090909	chr1
chr1_5700000	51.51090909	chr1
chr1_5750000	50.78181818	chr1
chr1_5800000	52.01454545	chr1
chr1_5850000	53.67090909	chr1
chr1_5900000	47.52909091	chr1
chr1_5950000	51.93636364	chr1
chr1_6000000	55.13818182	chr1
chr1_6050000	56.30363636	chr1
chr1_6100000	55.93636364	chr1
chr1_6150000	54.53636364	chr1
chr1_6200000	55.59818182	chr1
chr1_6250000	57.47090909	chr1
chr1_6300000	54.06727273	chr1
chr1_6350000	52.20545455	chr1
chr1_6400000	56.44181818	chr1
chr1_6450000	59.89636364	chr1
chr1_6500000	51.32545455	chr1
chr1_6550000	54.42	chr1
chr1_6600000	53.22	chr1
chr1_6650000	45.42909091	chr1
chr1_6700000	47.28909091	chr1
chr1_6750000	45.17818182	chr1
chr1_6800000	41.06545455	chr1
chr1_6850000	41.05818182	chr1
chr1_6900000	48.38363636	chr1
chr1_6950000	48.92363636	chr1
chr1_7000000	48.11636364	chr1
chr1_7050000	49.35090909	chr1
chr1_7100000	47.74363636	chr1
chr1_7150000	44.83090909	chr1
chr1_7200000	44.85090909	chr1
chr1_7250000	44.76909091	chr1
chr1_7300000	45.13454545	chr1
chr1_7350000	48.11090909	chr1
chr1_7400000	51.54909091	chr1
chr1_7450000	54.28545455	chr1
chr1_7500000	52.27090909	chr1
chr1_7550000	53.10909091	chr1
chr1_7600000	53.56545455	chr1
chr1_7650000	54.84909091	chr1
chr1_7700000	45.41454545	chr1
chr1_7750000	41.93636364	chr1
chr1_7800000	39.88727273	chr1
chr1_7850000	45.51636364	chr1
chr1_7900000	45.05818182	chr1
chr1_7950000	46.30727273	chr1
chr1_8000000	42.87090909	chr1
chr1_8050000	43.10181818	chr1
chr1_8100000	44.99636364	chr1
chr1_8150000	46.54909091	chr1
chr1_8200000	49.20545455	chr1
chr1_8250000	46.10363636	chr1
chr1_8300000	50.91090909	chr1
chr1_8350000	48.56363636	chr1
chr1_8400000	43.98545455	chr1
chr1_8450000	42.87818182	chr1
chr1_8500000	41.74181818	chr1
chr1_8550000	40.07454545	chr1
chr1_8600000	39.77454545	chr1
chr1_8650000	40.74	chr1
chr1_8700000	40.79454545	chr1
chr1_8750000	41.12	chr1
chr1_8800000	45.44545455	chr1
chr1_8850000	48.87454545	chr1
chr1_8900000	47.78909091	chr1
chr1_8950000	47.78	chr1
chr1_9000000	49.94909091	chr1
chr1_9050000	46.74909091	chr1
chr1_9100000	49.70181818	chr1
chr1_9150000	51.41454545	chr1
chr1_9200000	50.53454545	chr1
chr1_9250000	52.05090909	chr1
chr1_9300000	54.04181818	chr1
chr1_9350000	54.45272727	chr1
chr1_9400000	50.14727273	chr1
chr1_9450000	49.44181818	chr1
chr1_9500000	48.29818182	chr1
chr1_9550000	49.11090909	chr1
chr1_9600000	53.93636364	chr1
chr1_9650000	50.31636364	chr1
chr1_9700000	51.54	chr1
chr1_9750000	46.57272727	chr1
chr1_9800000	49.70363636	chr1
chr1_9850000	51.50545455	chr1
chr1_9900000	46.28545455	chr1
chr1_9950000	47.12909091	chr1
chr1_10000000	46.89818182	chr1
chr1_10050000	43.63818182	chr1
chr1_10100000	42.81090909	chr1
chr1_10150000	45.17818182	chr1
chr1_10200000	44.32727273	chr1
chr1_10250000	40.16363636	chr1
chr1_10300000	41.32727273	chr1
chr1_10350000	45.79454545	chr1
chr1_10400000	48.37636364	chr1
chr1_10450000	47.18727273	chr1
chr1_10500000	44.25454545	chr1
chr1_10550000	41.98	chr1
chr1_10600000	54.04545455	chr1
chr1_10650000	59.44909091	chr1
chr1_10700000	55.52727273	chr1
chr1_10750000	53.07090909	chr1
chr1_10800000	52.20181818	chr1
chr1_10850000	52.42181818	chr1
chr1_10900000	52.71454545	chr1
chr1_10950000	49.93090909	chr1
chr1_11000000	47.57090909	chr1
chr1_11050000	48.98	chr1
chr1_11100000	45.83090909	chr1
chr1_11150000	44.25090909	chr1
chr1_11200000	43.59090909	chr1
chr1_11250000	48.05636364	chr1
chr1_11300000	51.98181818	chr1
chr1_11350000	50.12363636	chr1
chr1_11400000	49.56545455	chr1
chr1_11450000	52.82909091	chr1
chr1_11500000	51.84909091	chr1
chr1_11550000	49.42181818	chr1
chr1_11600000	52.02909091	chr1
chr1_11650000	55.06363636	chr1
chr1_11700000	52.89090909	chr1
chr1_11750000	54.06727273	chr1
chr1_11800000	49.10909091	chr1
chr1_11850000	51.16181818	chr1
chr1_11900000	51.70727273	chr1
chr1_11950000	51.72545455	chr1
chr1_12000000	52.67272727	chr1
chr1_12050000	49.96	chr1
chr1_12100000	51.1	chr1
chr1_12150000	53.78727273	chr1
chr1_12200000	48.52909091	chr1
chr1_12250000	41.28363636	chr1
chr1_12300000	41.20363636	chr1
chr1_12350000	40.90727273	chr1
chr1_12400000	41.78363636	chr1
chr1_12450000	43.99090909	chr1
chr1_12500000	48.73636364	chr1
chr1_12550000	52.77636364	chr1
chr1_12600000	49.47272727	chr1
chr1_12650000	44.71272727	chr1
chr1_12700000	42.12363636	chr1
chr1_12750000	45.11090909	chr1
chr1_12800000	43.97272727	chr1
chr1_12850000	44.89272727	chr1
chr1_12900000	46.35818182	chr1
chr1_12950000	45.3125	chr1
chr1_13000000	45.1685	chr1
chr1_13050000	46.12	chr1
chr1_13100000	45.42181818	chr1
chr1_13150000	45.01818182	chr1
chr1_13200000	45.83818182	chr1
chr1_13250000	46.35454545	chr1
chr1_13300000	46.41090909	chr1
chr1_13350000	46.17818182	chr1
chr1_13400000	46.87454545	chr1
chr1_13450000	48.51272727	chr1
chr1_13500000	48.49272727	chr1
chr1_13550000	45.55636364	chr1
chr1_13600000	44.16909091	chr1
chr1_13650000	42.86363636	chr1
chr1_13700000	40.64545455	chr1
chr1_13750000	43.46545455	chr1
chr1_13800000	47.21636364	chr1
chr1_13850000	43.79818182	chr1
chr1_13900000	43.64363636	chr1
chr1_13950000	42.67818182	chr1
chr1_14000000	42.00727273	chr1
chr1_14050000	43.03272727	chr1
chr1_14100000	44.54181818	chr1
chr1_14150000	41.66363636	chr1
chr1_14200000	40.26	chr1
chr1_14250000	42.86909091	chr1
chr1_14300000	41.51454545	chr1
chr1_14350000	42.23818182	chr1
chr1_14400000	44.04181818	chr1
chr1_14450000	42.34909091	chr1
chr1_14500000	43.98	chr1
chr1_14550000	45.22363636	chr1
chr1_14600000	45.32	chr1
chr1_14650000	46.46363636	chr1
chr1_14700000	47.27818182	chr1
chr1_14750000	47.85454545	chr1
chr1_14800000	48.63090909	chr1
chr1_14850000	48.24181818	chr1
chr1_14900000	51.84363636	chr1
chr1_14950000	51.66363636	chr1
chr1_15000000	51.79090909	chr1
chr1_15050000	51.64727273	chr1
chr1_15100000	49.66363636	chr1
chr1_15150000	48.73272727	chr1
chr1_15200000	46.65818182	chr1
chr1_15250000	44.92545455	chr1
chr1_15300000	48.24181818	chr1
chr1_15350000	49.18	chr1
chr1_15400000	52.76363636	chr1
chr1_15450000	48.26909091	chr1
chr1_15500000	45.87818182	chr1
chr1_15550000	45.83636364	chr1
chr1_15600000	44.72909091	chr1
chr1_15650000	46.08	chr1
chr1_15700000	54.88909091	chr1
chr1_15750000	52.67818182	chr1
chr1_15800000	48.10545455	chr1
chr1_15850000	42.11272727	chr1
chr1_15900000	47.01090909	chr1
chr1_15950000	48.81272727	chr1
chr1_16000000	57.48	chr1
chr1_16050000	55.34545455	chr1
chr1_16100000	54.06181818	chr1
chr1_16150000	54.22727273	chr1
chr1_16200000	53.07818182	chr1
chr1_16250000	43.73818182	chr1
chr1_16300000	44.23090909	chr1
chr1_16350000	48.37090909	chr1
chr1_16400000	50.32909091	chr1
chr1_16450000	50.31090909	chr1
chr1_16500000	46.50181818	chr1
chr1_16550000	43.7	chr1
chr1_16600000	49.92727273	chr1
chr1_16650000	49	chr1
chr1_16700000	50.90363636	chr1
chr1_16750000	46.40393636	chr1
chr1_16800000	43.6833	chr1
chr1_16850000	45.47302727	chr1
chr1_16900000	52.56727273	chr1
chr1_16950000	57.21636364	chr1
chr1_17000000	47.27454545	chr1
chr1_17050000	49.98909091	chr1
chr1_17100000	49.66909091	chr1
chr1_17150000	47.82727273	chr1
chr1_17200000	52.87272727	chr1
chr1_17250000	49.62363636	chr1
chr1_17300000	48.33818182	chr1
chr1_17350000	51.55272727	chr1
chr1_17400000	51.39272727	chr1
chr1_17450000	48.38909091	chr1
chr1_17500000	50.53454545	chr1
chr1_17550000	53.56363636	chr1
chr1_17600000	54.91454545	chr1
chr1_17650000	55.20545455	chr1
chr1_17700000	51.33454545	chr1
chr1_17750000	49.61636364	chr1
chr1_17800000	47.43090909	chr1
chr1_17850000	48.34363636	chr1
chr1_17900000	47.34909091	chr1
chr1_17950000	48.26727273	chr1
chr1_18000000	48.71454545	chr1
chr1_18050000	48.72909091	chr1
chr1_18100000	51.23090909	chr1
chr1_18150000	50.10727273	chr1
chr1_18200000	48.59090909	chr1
chr1_18250000	50.45454545	chr1
chr1_18300000	49.81636364	chr1
chr1_18350000	49.52727273	chr1
chr1_18400000	46.57454545	chr1
chr1_18450000	47.81818182	chr1
chr1_18500000	45.49272727	chr1
chr1_18550000	49.64	chr1
chr1_18600000	51.3	chr1
chr1_18650000	51.4	chr1
chr1_18700000	52.06909091	chr1
chr1_18750000	47.36363636	chr1
chr1_18800000	51.29636364	chr1
chr1_18850000	53.79818182	chr1
chr1_18900000	53.62	chr1
chr1_18950000	47.38727273	chr1
chr1_19000000	47.39454545	chr1
chr1_19050000	51.44727273	chr1
chr1_19100000	43.79636364	chr1
chr1_19150000	41.76181818	chr1
chr1_19200000	45.68	chr1
chr1_19250000	48.49636364	chr1
chr1_19300000	53.64363636	chr1
chr1_19350000	50.85090909	chr1
chr1_19400000	46.92	chr1
chr1_19450000	48.15454545	chr1
chr1_19500000	44.67818182	chr1
chr1_19550000	45.42181818	chr1
chr1_19600000	46.52363636	chr1
chr1_19650000	52.95636364	chr1
chr1_19700000	48.48	chr1
chr1_19750000	48.45818182	chr1
chr1_19800000	44.89272727	chr1
chr1_19850000	42.52181818	chr1
chr1_19900000	45.1	chr1
chr1_19950000	45.32	chr1
chr1_20000000	39.94727273	chr1
chr1_20050000	45.53272727	chr1
chr1_20100000	49.5	chr1
chr1_20150000	50.22	chr1
chr1_20200000	45.03636364	chr1
chr1_20250000	48.15272727	chr1
chr1_20300000	50.10545455	chr1
chr1_20350000	50.20727273	chr1
chr1_20400000	48.50363636	chr1
chr1_20450000	50.62909091	chr1
chr1_20500000	47.02	chr1
chr1_20550000	49.03454545	chr1
chr1_20600000	48.41818182	chr1
chr1_20650000	51.88545455	chr1
chr1_20700000	51.17636364	chr1
chr1_20750000	42.41090909	chr1
chr1_20800000	41.35090909	chr1
chr1_20850000	38.33272727	chr1
chr1_20900000	37.56	chr1
chr1_20950000	37.48181818	chr1
chr1_21000000	40.09454545	chr1
chr1_21050000	39.03636364	chr1
chr1_21100000	39.53636364	chr1
chr1_21150000	44.49818182	chr1
chr1_21200000	49.50545455	chr1
chr1_21250000	51.89454545	chr1
chr1_21300000	52.37818182	chr1
chr1_21350000	46.88363636	chr1
chr1_21400000	46.37090909	chr1
chr1_21450000	44.61090909	chr1
chr1_21500000	50.21818182	chr1
chr1_21550000	54.54	chr1
chr1_21600000	56.76545455	chr1
chr1_21650000	48.79090909	chr1
chr1_21700000	40.20181818	chr1
chr1_21750000	45.57818182	chr1
chr1_21800000	54.00363636	chr1
chr1_21850000	56.81090909	chr1
chr1_21900000	53.10545455	chr1
chr1_21950000	50.51272727	chr1
chr1_22000000	48.77090909	chr1
chr1_22050000	42.39454545	chr1
chr1_22100000	52.23636364	chr1
chr1_22150000	49.99818182	chr1
chr1_22200000	51.37818182	chr1
chr1_22250000	51.32545455	chr1
chr1_22300000	48.04	chr1
chr1_22350000	48.34909091	chr1
chr1_22400000	44.94	chr1
chr1_22450000	41.50363636	chr1
chr1_22500000	48.46	chr1
chr1_22550000	56.50181818	chr1
chr1_22600000	52.72545455	chr1
chr1_22650000	49.68727273	chr1
chr1_22700000	50.88545455	chr1
chr1_22750000	52.32727273	chr1
chr1_22800000	51.74545455	chr1
chr1_22850000	51.97272727	chr1
chr1_22900000	48.56	chr1
chr1_22950000	46.15818182	chr1
chr1_23000000	41.46181818	chr1
chr1_23050000	41.17454545	chr1
chr1_23100000	41.78727273	chr1
chr1_23150000	46.01454545	chr1
chr1_23200000	47.54909091	chr1
chr1_23250000	42.57454545	chr1
chr1_23300000	40.37090909	chr1
chr1_23350000	47.22	chr1
chr1_23400000	49.66545455	chr1
chr1_23450000	48.50727273	chr1
chr1_23500000	50.09090909	chr1
chr1_23550000	49.03636364	chr1
chr1_23600000	49.64545455	chr1
chr1_23650000	47.03090909	chr1
chr1_23700000	46.04909091	chr1
chr1_23750000	48.72	chr1
chr1_23800000	47.25636364	chr1
chr1_23850000	47.06181818	chr1
chr1_23900000	46.57272727	chr1
chr1_23950000	43.67818182	chr1
chr1_24000000	45.07454545	chr1
chr1_24050000	51.20727273	chr1
chr1_24100000	50.73818182	chr1
chr1_24150000	47.8	chr1
chr1_24200000	47.73818182	chr1
chr1_24250000	45.75272727	chr1
chr1_24300000	48.79818182	chr1
chr1_24350000	45.73454545	chr1
chr1_24400000	42.89636364	chr1
chr1_24450000	45.97454545	chr1
chr1_24500000	43.15272727	chr1
chr1_24550000	48.44909091	chr1
chr1_24600000	43.50909091	chr1
chr1_24650000	44.00363636	chr1
chr1_24700000	49.31818182	chr1
chr1_24750000	41.95090909	chr1
chr1_24800000	42.14181818	chr1
chr1_24850000	48.14363636	chr1
chr1_24900000	54.86727273	chr1
chr1_24950000	51.68	chr1
chr1_25000000	52.88363636	chr1
chr1_25050000	50.36545455	chr1
chr1_25100000	47.02545455	chr1
chr1_25150000	45.98909091	chr1
chr1_25200000	45.75454545	chr1
chr1_25250000	46.83454545	chr1
chr1_25300000	45.11818182	chr1
chr1_25350000	45.28181818	chr1
chr1_25400000	44.62181818	chr1
chr1_25450000	40.95454545	chr1
chr1_25500000	50.06363636	chr1
chr1_25550000	52.12727273	chr1
chr1_25600000	46.2	chr1
chr1_25650000	47.87454545	chr1
chr1_25700000	49.58181818	chr1
chr1_25750000	52.79818182	chr1
chr1_25800000	48.98727273	chr1
chr1_25850000	48.46181818	chr1
chr1_25900000	46.42	chr1
chr1_25950000	46.06909091	chr1
chr1_26000000	52.25636364	chr1
chr1_26050000	47.27818182	chr1
chr1_26100000	44.34727273	chr1
chr1_26150000	53.05090909	chr1
chr1_26200000	46.63818182	chr1
chr1_26250000	50.76909091	chr1
chr1_26300000	51.56909091	chr1
chr1_26350000	49.59090909	chr1
chr1_26400000	45.91636364	chr1
chr1_26450000	47.35636364	chr1
chr1_26500000	51.25636364	chr1
chr1_26550000	49.18181818	chr1
chr1_26600000	44.82363636	chr1
chr1_26650000	45.36909091	chr1
chr1_26700000	43.99454545	chr1
chr1_26750000	47.18	chr1
chr1_26800000	50.37636364	chr1
chr1_26850000	50.94181818	chr1
chr1_26900000	48.95636364	chr1
chr1_26950000	50.40727273	chr1
chr1_27000000	51.21454545	chr1
chr1_27050000	50.71818182	chr1
chr1_27100000	52.52181818	chr1
chr1_27150000	46.83454545	chr1
chr1_27200000	45.49636364	chr1
chr1_27250000	45.58	chr1
chr1_27300000	52.24545455	chr1
chr1_27350000	56.04909091	chr1
chr1_27400000	45.62363636	chr1
chr1_27450000	44.69454545	chr1
chr1_27500000	53.88545455	chr1
chr1_27550000	56.76363636	chr1
chr1_27600000	52.54181818	chr1
chr1_27650000	47.07454545	chr1
chr1_27700000	44.28727273	chr1
chr1_27750000	42.34181818	chr1
chr1_27800000	43.38181818	chr1
chr1_27850000	50.24181818	chr1
chr1_27900000	46.73818182	chr1
chr1_27950000	46.38363636	chr1
chr1_28000000	39.10727273	chr1
chr1_28050000	39.21636364	chr1
chr1_28100000	46.23636364	chr1
chr1_28150000	48.25090909	chr1
chr1_28200000	44.28181818	chr1
chr1_28250000	47.86363636	chr1
chr1_28300000	45.32727273	chr1
chr1_28350000	45.39090909	chr1
chr1_28400000	41.07090909	chr1
chr1_28450000	43.90909091	chr1
chr1_28500000	49.08181818	chr1
chr1_28550000	48.70909091	chr1
chr1_28600000	46.3	chr1
chr1_28650000	47.01636364	chr1
chr1_28700000	45.47090909	chr1
chr1_28750000	45.42545455	chr1
chr1_28800000	48.98727273	chr1
chr1_28850000	50.79090909	chr1
chr1_28900000	43.26	chr1
chr1_28950000	40.24545455	chr1
chr1_29000000	39.62727273	chr1
chr1_29050000	40.18	chr1
chr1_29100000	50.26	chr1
chr1_29150000	45.55818182	chr1
chr1_29200000	50	chr1
chr1_29250000	49.30545455	chr1
chr1_29300000	50.95636364	chr1
chr1_29350000	48.06727273	chr1
chr1_29400000	47.42909091	chr1
chr1_29450000	49.68363636	chr1
chr1_29500000	48.95090909	chr1
chr1_29550000	49.376	chr1
chr1_29600000	46.20727273	chr1
chr1_29650000	47.71454545	chr1
chr1_29700000	51.14181818	chr1
chr1_29750000	45.41090909	chr1
chr1_29800000	46.95636364	chr1
chr1_29850000	47.9	chr1
chr1_29900000	48.85272727	chr1
chr1_29950000	46.33090909	chr1
chr1_30000000	47.84909091	chr1
chr1_30050000	50.17090909	chr1
chr1_30100000	50.74909091	chr1
chr1_30150000	45.01090909	chr1
chr1_30200000	46.70181818	chr1
chr1_30250000	47.99090909	chr1
chr1_30300000	47.56181818	chr1
chr1_30350000	47.6	chr1
chr1_30400000	47.52727273	chr1
chr1_30450000	48.93636364	chr1
chr1_30500000	46.98545455	chr1
chr1_30550000	41.74	chr1
chr1_30600000	48.16181818	chr1
chr1_30650000	51.48363636	chr1
chr1_30700000	53.54545455	chr1
chr1_30750000	52.76545455	chr1
chr1_30800000	49.46727273	chr1
chr1_30850000	52.78727273	chr1
chr1_30900000	48.28363636	chr1
chr1_30950000	39.82909091	chr1
chr1_31000000	40.74363636	chr1
chr1_31050000	45.26181818	chr1
chr1_31100000	46.52363636	chr1
chr1_31150000	50.13636364	chr1
chr1_31200000	49.86545455	chr1
chr1_31250000	43.21818182	chr1
chr1_31300000	42.12	chr1
chr1_31350000	46.81818182	chr1
chr1_31400000	50.4	chr1
chr1_31450000	41.91454545	chr1
chr1_31500000	46.67090909	chr1
chr1_31550000	48.24545455	chr1
chr1_31600000	47.98363636	chr1
chr1_31650000	54.71090909	chr1
chr1_31700000	56.07272727	chr1
chr1_31750000	55.62363636	chr1
chr1_31800000	46.71090909	chr1
chr1_31850000	44.30363636	chr1
chr1_31900000	42.69636364	chr1
chr1_31950000	46.10909091	chr1
chr1_32000000	44.34181818	chr1
chr1_32050000	47.38	chr1
chr1_32100000	44.92	chr1
chr1_32150000	46.80181818	chr1
chr1_32200000	52.26	chr1
chr1_32250000	49.89272727	chr1
chr1_32300000	49.12	chr1
chr1_32350000	50.02	chr1
chr1_32400000	45.19636364	chr1
chr1_32450000	45.08363636	chr1
chr1_32500000	45.25454545	chr1
chr1_32550000	43.37636364	chr1
chr1_32600000	44.16181818	chr1
chr1_32650000	44.74363636	chr1
chr1_32700000	52.62	chr1
chr1_32750000	50.20545455	chr1
chr1_32800000	43.31636364	chr1
chr1_32850000	50.94909091	chr1
chr1_32900000	46.65818182	chr1
chr1_32950000	47.99454545	chr1
chr1_33000000	45.66909091	chr1
chr1_33050000	48.41272727	chr1
chr1_33100000	46.33818182	chr1
chr1_33150000	48.80545455	chr1
chr1_33200000	42.31636364	chr1
chr1_33250000	50.40181818	chr1
chr1_33300000	50.54363636	chr1
chr1_33350000	47.29818182	chr1
chr1_33400000	41.19090909	chr1
chr1_33450000	45.12545455	chr1
chr1_33500000	45.16363636	chr1
chr1_33550000	43.28909091	chr1
chr1_33600000	46.42	chr1
chr1_33650000	44.64727273	chr1
chr1_33700000	43.78181818	chr1
chr1_33750000	45.22909091	chr1
chr1_33800000	44.58	chr1
chr1_33850000	44.88363636	chr1
chr1_33900000	46.59272727	chr1
chr1_33950000	47.71090909	chr1
chr1_34000000	44.42727273	chr1
chr1_34050000	44.69454545	chr1
chr1_34100000	43.94181818	chr1
chr1_34150000	48.75454545	chr1
chr1_34200000	43.99454545	chr1
chr1_34250000	42.93272727	chr1
chr1_34300000	41.78727273	chr1
chr1_34350000	41.84909091	chr1
chr1_34400000	45.26181818	chr1
chr1_34450000	43.94727273	chr1
chr1_34500000	41.17636364	chr1
chr1_34550000	43.49454545	chr1
chr1_34600000	45.77636364	chr1
chr1_34650000	44.77636364	chr1
chr1_34700000	47.32727273	chr1
chr1_34750000	51.31090909	chr1
chr1_34800000	45.25454545	chr1
chr1_34850000	47.33454545	chr1
chr1_34900000	47.07636364	chr1
chr1_34950000	42.31090909	chr1
chr1_35000000	39.94363636	chr1
chr1_35050000	42.92181818	chr1
chr1_35100000	42.56181818	chr1
chr1_35150000	43.47272727	chr1
chr1_35200000	42.74545455	chr1
chr1_35250000	41.25454545	chr1
chr1_35300000	39.44727273	chr1
chr1_35350000	37.08727273	chr1
chr1_35400000	42.26181818	chr1
chr1_35450000	41.08363636	chr1
chr1_35500000	40.36181818	chr1
chr1_35550000	50.00727273	chr1
chr1_35600000	41.56363636	chr1
chr1_35650000	45.70909091	chr1
chr1_35700000	46.42909091	chr1
chr1_35750000	42.76363636	chr1
chr1_35800000	42.86727273	chr1
chr1_35850000	43.63636364	chr1
chr1_35900000	42.35272727	chr1
chr1_35950000	37.47636364	chr1
chr1_36000000	39.86727273	chr1
chr1_36050000	45.92363636	chr1
chr1_36100000	53.26909091	chr1
chr1_36150000	52.27272727	chr1
chr1_36200000	46.67454545	chr1
chr1_36250000	43.14909091	chr1
chr1_36300000	52.48181818	chr1
chr1_36350000	50.94545455	chr1
chr1_36400000	46.06181818	chr1
chr1_36450000	49.04727273	chr1
chr1_36500000	46.77636364	chr1
chr1_36550000	49.20181818	chr1
chr1_36600000	48.85272727	chr1
chr1_36650000	47.64909091	chr1
chr1_36700000	47.26	chr1
chr1_36750000	48.74727273	chr1
chr1_36800000	50.97272727	chr1
chr1_36850000	47.83090909	chr1
chr1_36900000	46.52	chr1
chr1_36950000	52.07090909	chr1
chr1_37000000	50.56363636	chr1
chr1_37050000	49.17636364	chr1
chr1_37100000	48.18727273	chr1
chr1_37150000	42.83636364	chr1
chr1_37200000	41.23454545	chr1
chr1_37250000	48.58727273	chr1
chr1_37300000	49.05818182	chr1
chr1_37350000	46.84	chr1
chr1_37400000	48.94363636	chr1
chr1_37450000	49.55636364	chr1
chr1_37500000	44.18181818	chr1
chr1_37550000	44.45272727	chr1
chr1_37600000	49.31090909	chr1
chr1_37650000	49.41636364	chr1
chr1_37700000	48.29818182	chr1
chr1_37750000	48.27818182	chr1
chr1_37800000	45.62181818	chr1
chr1_37850000	45.52181818	chr1
chr1_37900000	48.17818182	chr1
chr1_37950000	47.52	chr1
chr1_38000000	52.24545455	chr1
chr1_38050000	51.55636364	chr1
chr1_38100000	49.92363636	chr1
chr1_38150000	46.08727273	chr1
chr1_38200000	48.01818182	chr1
chr1_38250000	47.98909091	chr1
chr1_38300000	42.00181818	chr1
chr1_38350000	41.52909091	chr1
chr1_38400000	39.88727273	chr1
chr1_38450000	44.53636364	chr1
chr1_38500000	43.38909091	chr1
chr1_38550000	46.16363636	chr1
chr1_38600000	45.62	chr1
chr1_38650000	44.19090909	chr1
chr1_38700000	44.88363636	chr1
chr1_38750000	44.94909091	chr1
chr1_38800000	44.53454545	chr1
chr1_38850000	42.70909091	chr1
chr1_38900000	45.56	chr1
chr1_38950000	45.35818182	chr1
chr1_39000000	45.30727273	chr1
chr1_39050000	47.41818182	chr1
chr1_39100000	44.26727273	chr1
chr1_39150000	42.65818182	chr1
chr1_39200000	43.29272727	chr1
chr1_39250000	40.62	chr1
chr1_39300000	40.76545455	chr1
